rows_used,lr_mae,lr_rmse,rf_mae,rf_rmse,name,engine
1239,0.813222402604576,1.1057406078615308,4.311024395161267,2.3083333734653797,AIZ,pandas
1239,0.40282350901335,0.7670182521649184,4.83752963709681,2.463652915555376,AJG,pandas
1239,0.602837418706416,1.0796658817049765,0.7847592883064493,1.142956159608086,AKAM,pandas
1239,1.4016326111868025,1.4141741184462846,23.891847983871155,5.219919264102027,ALB,pandas
1239,2.6123731791562497,2.1372865720923504,77.41900282258081,9.646159696851301,ALGN,pandas
1239,1.030351046150108,1.2106924791365812,1.5101804435484045,1.4074781795565572,ALK,pandas
1239,0.5487232074202395,0.9075531239517172,12.191990524193546,3.778253907576011,ALL,pandas
1043,0.6625844894003031,0.9607047974790933,6.287058851674789,2.6449999005287546,ALLE,pandas
1239,1.8186802178035661,1.5620487769327245,2.0191274395161276,1.623105079397219,ALXN,pandas
1239,0.6317037855678356,0.9414676902448865,11.428538709677458,3.623464357788282,AMAT,pandas
1239,0.32142751650233214,0.6894132308246499,0.4573052419354879,0.7710020068759933,AMD,pandas
1239,0.45820881853268314,0.7916534456790167,8.29416532258068,3.216493221772275,AME,pandas
1239,1.5363740418820495,1.4847143473321671,2.107584879032267,1.7203602984532567,AMG,pandas
1239,1.4346356292551514,1.4447657331052621,4.99525302419361,2.709395109420644,AMGN,pandas
1239,1.4050196615914698,1.38454708084998,12.076795766128996,4.274541796518068,AMP,pandas
1239,1.1020557652588352,1.209218700029245,18.215383669354846,4.529110306057756,AMT,pandas
1239,9.56890516574617,3.888400407412739,196.12523608871095,15.521611590131595,AMZN,pandas
1239,0.9869668258877816,1.138036025308009,1.2939479838709833,1.2877337267870477,ANDV,pandas
1239,1.257082666778991,1.3665681997865482,31.725612298387084,5.9833461259520915,ANSS,pandas
1239,1.7272535013896915,1.5974737810826447,28.37148024193543,6.05686958787358,ANTM,pandas
1239,0.848303184853431,1.0724811260116993,18.51936572580646,4.5873214132369595,AON,pandas
1239,0.43620657157323584,0.7713737159256902,6.968801108871028,2.873241698166816,AOS,pandas
1239,0.755638208990132,1.0112561909678628,0.9595887096774254,1.1310248783258454,APA,pandas
1239,0.6607210971008968,0.9534039586741153,0.9101455645161352,1.0864950983843906,APC,pandas
1239,0.9717567025546616,1.1871320993151493,3.264648991935459,2.288862380647542,APD,pandas
1239,0.49899417385202355,0.8128130741799561,12.314435483871065,3.806160521547532,APH,pandas
1239,0.7911073863882015,1.0446569160636718,7.651122782258058,3.01263872120127,ARE,pandas
1239,0.35328170595413744,0.7233968077570039,0.4278132056451619,0.7630873692928783,ARNC,pandas
1239,0.7347659553672501,1.0085032316456752,14.81446713709675,4.03999719805083,ATVI,pandas
1239,1.1420294040514627,1.2638636264616638,2.128905241935372,1.704544545842846,AVB,pandas
1239,2.903664941030073,1.997049360709717,38.94795645161322,6.547956417152421,AVGO,pandas
1239,0.6789052805007848,0.9946014319385797,16.657362298387064,4.610419169903051,AVY,pandas
1239,0.5472945161049309,0.8643406240410151,1.974232661290336,1.7814284852022568,AWK,pandas
1239,0.5506349166518791,0.8980010754729572,1.1970864919354962,1.373010622566,AXP,pandas
1239,2.558222776927764,2.0452007247091073,3.3515167338709917,2.220489774062397,AYI,pandas
1239,7.5189216087125015,3.30680711150016,9.127260282258192,3.639118200913356,AZO,pandas
1239,2.3665451510731894,1.9766503557690112,67.6898094758066,9.177586863139929,BA,pandas
1239,0.24836956375280994,0.5923540771584874,2.560704838709686,1.907049046267661,BAC,pandas
1239,0.4401663363199588,0.7842943388458672,3.3256850806451363,1.9974896415917578,BAX,pandas
1239,0.3755921515296128,0.7210206049291001,1.6060941532257977,1.564381028382101,BBT,pandas
1239,0.8964622168951354,1.1637398963814236,9.316599798387118,3.4218340261553593,BBY,pandas
1239,1.4803418000120605,1.5164905525047063,23.876884274193486,5.3943155479750065,BDX,pandas
1239,0.35791869359431944,0.7060272031695779,0.9103650544354704,1.0322754463133479,BEN,pandas
1239,0.4629926588191947,0.8549825557810328,3.0598627016128943,2.37935119731146,BF.B,pandas
123,1.192724382668663,1.1730746478041225,2.0341620000000677,1.5541413713130703,BHF,pandas
132,0.7583257094903473,0.9571466446298896,0.9567185185185084,1.0741467959705977,BHGE,pandas
1239,3.3549436402379444,2.155108385857192,3.8556661552419627,2.255159466086556,BIIB,pandas
1239,0.38938387785709344,0.736691050131907,3.5165749999999925,2.110172952939452,BK,pandas
1239,3.5753036129840967,2.24011795592801,55.29608266129075,8.740146891707122,BLK,pandas
1239,0.31335920197024336,0.6692983702828622,0.8280082661290167,1.067008606482104,BLL,pandas
1237,0.4993115396731136,0.8439697748392658,0.7554776209677445,0.9984266940020916,BMY,pandas
1239,1.0638199114264681,1.2891048483729652,15.773500806451656,4.553375982246706,BRK.B,pandas
1239,0.2185611523873946,0.5749151474477222,1.8768758064515814,1.5119283004585127,BSX,pandas
1239,0.519430146858784,0.8411526287547527,0.6264504032258149,0.903220755406469,BWA,pandas
1239,0.9459340745884647,1.1407208163775842,1.071578024193546,1.1870735416054745,BXP,pandas
1239,0.592381310142861,0.8979713767511225,7.841019354838693,3.143782296970463,C,pandas
1239,0.24605714212530222,0.6743115826514502,0.3086288709677376,0.7154664517834397,CA,pandas
1239,0.2937081184202266,0.6302906003043871,0.3512995967741951,0.6916475095498693,CAG,pandas
1239,0.737636581513115,1.078614372248502,1.0377510080645065,1.2303177278127002,CAH,pandas
1239,1.1031299169544988,1.2789890392131358,15.230405040322621,4.888306973381763,CAT,pandas
1239,0.9373756373826246,1.144776500870759,12.221595161290452,3.6553465150617,CB,pandas
1239,0.3519504417379467,0.6799002496189638,1.7570397177419212,1.6855061628564618,CBG,pandas
1239,0.7583636725076377,1.1335173316318652,22.935587701612942,5.3717383560146486,CBOE,pandas
1239,0.691074851867998,0.9417708135515666,0.8670405241935486,1.0506724759904005,CBS,pandas
1239,0.767268431184209,1.0267529018770047,4.04149435483866,2.4069069057777206,CCI,pandas
1239,0.5423338232793475,0.850930257726326,8.48591754032263,3.062817886733432,CCL,pandas
1239,0.32466528286329643,0.6904761963359736,7.898394959677436,3.046015395159858,CDNS,pandas
1239,1.3416045835697612,1.502335684533343,3.0581101754032325,2.161541737562116,CELG,pandas
1239,0.5941829807523222,0.9426708196988869,0.712398266129036,1.0178768370275142,CERN,pandas
